compound_id,mapping,heavy_atoms,heavy_bonds,first_match_head,pose_match_head,min_bond_A,max_bond_A,bad_bond_count
Mol_13144,old_md_code,38,43,17;18;19;20;21;22;35;36;37;16;15;1,15;11;12;13;14;16;17;18;20;22;21;19,1.3420648270482323,11.683255154279562,32
Mol_13144,invert_old_match,38,43,17;18;19;20;21;22;35;36;37;16;15;1,15;11;12;13;14;16;17;18;20;22;21;19,1.21542009198466,1.549352768093826,0
Mol_13144,fixed_pose_match,38,43,17;18;19;20;21;22;35;36;37;16;15;1,15;11;12;13;14;16;17;18;20;22;21;19,1.21542009198466,1.549352768093826,0
Mol_13733,old_md_code,31,34,18;17;7;8;9;16;10;15;11;14;13;6,18;17;12;13;15;16;11;2;3;4;6;8,1.4109135338496115,8.815631004074524,29
Mol_13733,invert_old_match,31,34,18;17;7;8;9;16;10;15;11;14;13;6,18;17;12;13;15;16;11;2;3;4;6;8,1.3642276203038846,1.5484463180879084,0
Mol_13733,fixed_pose_match,31,34,18;17;7;8;9;16;10;15;11;14;13;6,18;17;12;13;15;16;11;2;3;4;6;8,1.3642276203038846,1.5484463180879084,0
Mol_15088,old_md_code,39,45,2;3;4;33;35;37;1;0;38;5;6;7,7;6;0;1;2;9;10;11;14;15;27;28,1.359563900668152,11.166837914109793,32
Mol_15088,invert_old_match,39,45,2;3;4;33;35;37;1;0;38;5;6;7,7;6;0;1;2;9;10;11;14;15;27;28,1.359006254584577,1.5546655588904,0
Mol_15088,fixed_pose_match,39,45,2;3;4;33;35;37;1;0;38;5;6;7,7;6;0;1;2;9;10;11;14;15;27;28,1.359006254584577,1.5546655588904,0
Mol_14056,old_md_code,20,22,3;2;1;19;12;18;14;13;17;15;16;0,11;2;1;0;12;13;15;17;16;19;14;18,1.3932322132365442,6.495503213762565,15
Mol_14056,invert_old_match,20,22,3;2;1;19;12;18;14;13;17;15;16;0,11;2;1;0;12;13;15;17;16;19;14;18,1.2250689776498416,1.7376299951370473,0
Mol_14056,fixed_pose_match,20,22,3;2;1;19;12;18;14;13;17;15;16;0,11;2;1;0;12;13;15;17;16;19;14;18,1.2250689776498416,1.7376299951370473,0
Mol_16614,old_md_code,26,29,2;3;1;0;4;5;24;6;23;8;7;22,3;2;0;1;4;5;7;10;9;12;19;14,1.2218383690161314,9.442933071879732,24
Mol_16614,invert_old_match,26,29,2;3;1;0;4;5;24;6;23;8;7;22,3;2;0;1;4;5;7;10;9;12;19;14,1.2218383690161314,1.5882458877642347,0
Mol_16614,fixed_pose_match,26,29,2;3;1;0;4;5;24;6;23;8;7;22,3;2;0;1;4;5;7;10;9;12;19;14,1.2218383690161314,1.5882458877642347,0
