system,replicate,selected_frames,clusters,cluster_threshold_A,dominant_cluster_fraction,dominant_medoid_frame_index,dominant_medoid_time_ns,mean_silhouette
oprk1_mol16614,1,401,2,2.0,0.9925187032418953,1934,96.69999987885966,0.21046337334607293
oprk1_mol16614,2,401,1,2.0,1.0,1681,84.04999992230294,
oprk1_mol16614,3,401,1,2.0,1.0,1666,83.29999992487865,
sglt2_mol13144,1,401,1,2.0,1.0,1710,85.49999991732328,
sglt2_mol13144,2,401,1,2.0,1.0,1773,88.64999990650539,
sglt2_mol13144,3,401,1,2.0,1.0,1910,95.49999988298076,
sglt2_mol13733,1,401,1,2.0,1.0,1987,99.34999986975888,
sglt2_mol13733,2,401,1,2.0,1.0,1866,93.29999989053613,
sglt2_mol13733,3,401,1,2.0,1.0,1651,82.54999992745432,
sglt2_mol15088,1,401,1,2.0,1.0,1786,89.29999990427312,
sglt2_mol15088,2,401,1,2.0,1.0,1852,92.59999989294008,
sglt2_mol15088,3,401,1,2.0,1.0,1775,88.74999990616196,
