system,replicate,model,delta_endpoint_kcal_mol,snapshot_sd_kcal_mol,snapshot_sem_kcal_mol
sglt2_mol13144,1,GB,-73.4964,3.5675,0.3568
sglt2_mol13144,1,PB-implicit-membrane,-24.4043,2.9637,0.2964
sglt2_mol13144,2,GB,-78.1814,4.3023,0.4302
sglt2_mol13144,2,PB-implicit-membrane,-26.9211,3.8005,0.3801
sglt2_mol13144,3,GB,-78.5089,4.1273,0.4127
sglt2_mol13144,3,PB-implicit-membrane,-28.2545,3.1849,0.3185
sglt2_mol13733,1,GB,-51.8774,3.6453,0.3645
sglt2_mol13733,1,PB-implicit-membrane,-10.2378,3.065,0.3065
sglt2_mol13733,2,GB,-68.9091,3.9676,0.3968
sglt2_mol13733,2,PB-implicit-membrane,-14.737,3.106,0.3106
sglt2_mol13733,3,GB,-76.6614,4.3,0.43
sglt2_mol13733,3,PB-implicit-membrane,-18.5261,4.0118,0.4012
sglt2_mol15088,1,GB,-89.8098,4.0596,0.406
sglt2_mol15088,1,PB-implicit-membrane,-25.1901,3.4975,0.3497
sglt2_mol15088,2,GB,-92.5452,4.5541,0.4554
sglt2_mol15088,2,PB-implicit-membrane,-30.4332,3.5639,0.3564
sglt2_mol15088,3,GB,-80.2742,3.7743,0.3774
sglt2_mol15088,3,PB-implicit-membrane,-23.521,3.6306,0.3631
