GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4958.0798,-39409.3351,-3896.6467,189.91063296,-44367.414899999996,-3706.73606704,-48074.15096703999
1,-4934.2275,-39344.8115,-3919.3253,188.91733032,-44279.039000000004,-3730.40796968,-48009.44696968
2,-4931.3056,-39345.8723,-3935.9748,190.3725576,-44277.1779,-3745.6022424,-48022.780142400006
3,-4934.9908,-39284.401,-4021.0946,191.9113272,-44219.3918,-3829.1832728,-48048.57507279999
4,-4928.5687,-39254.7212,-3957.2916,190.42877015999997,-44183.2899,-3766.86282984,-47950.15272984
5,-4948.2485,-39315.0524,-3969.2743,191.17341792,-44263.3009,-3778.1008820800002,-48041.40178208
6,-4932.7002,-39151.6896,-4011.9799,192.10278744,-44084.3898,-3819.8771125599997,-47904.26691255999
7,-4968.1969,-39140.6883,-3995.7117,188.21994768,-44108.885200000004,-3807.4917523199997,-47916.37695232
8,-4979.2797,-39109.2002,-4067.7067,190.65980951999998,-44088.4799,-3877.04689048,-47965.52679048
9,-4870.834,-39061.0196,-4169.7961,191.2342248,-43931.8536,-3978.5618751999996,-47910.4154752
10,-4956.086,-38986.8772,-4125.0302,188.65627056,-43942.963200000006,-3936.37392944,-47879.337129440006
11,-4917.4526,-39258.5909,-4045.6675,187.90205903999998,-44176.0435,-3857.76544096,-48033.80894096
12,-4994.53,-39144.421,-4072.1328,187.18419312,-44138.951,-3884.9486068799997,-48023.89960688
13,-4914.2081,-39258.2979,-3988.5793,188.7900192,-44172.505999999994,-3799.7892807999997,-47972.29528079999
14,-4983.7854,-39210.0675,-4069.561,185.17452696,-44193.8529,-3884.38647304,-48078.23937304
15,-4959.2836,-39249.4866,-4035.2966,190.24090415999999,-44208.7702,-3845.05569584,-48053.825895840004
16,-4944.9445,-39306.1536,-4010.0204,189.36783359999998,-44251.098099999996,-3820.6525664,-48071.750666399996
17,-4956.1204,-39318.213,-4054.62,187.35811704,-44274.3334,-3867.26188296,-48141.59528296001
18,-5000.271,-39349.2249,-4009.3068,186.59296728,-44349.4959,-3822.71383272,-48172.20973272
19,-4980.0053,-39097.5514,-4122.672,189.6262956,-44077.556699999994,-3933.0457043999995,-48010.60240439999
