atom1,atom2,frame0_distance_A,mean_distance_A,minimum_distance_A,maximum_distance_A,implausible_frame_fraction
UNK1-C1x,UNK1-O1x,1.450656533241272,1.456443428993225,1.3194324970245361,1.5799750089645386,0.0
UNK1-O1x,UNK1-C2x,1.3546062707901,1.375665307044983,1.2789008617401123,1.4756929874420166,0.0
UNK1-C2x,UNK1-O2x,1.2392328977584839,1.2272483110427856,1.1585347652435303,1.2968933582305908,0.0
UNK1-C2x,UNK1-C3x,1.4526246786117554,1.5000067949295044,1.4004796743392944,1.609285593032837,0.0
UNK1-C3x,UNK1-C4x,1.3853508234024048,1.3921687602996826,1.3130607604980469,1.477516770362854,0.0
UNK1-C3x,UNK1-C20x,1.5304362773895264,1.5670437812805176,1.4287798404693604,1.6702549457550049,0.0
UNK1-C4x,UNK1-C5x,1.464990258216858,1.4769419431686401,1.3755435943603516,1.5817158222198486,0.0
UNK1-C5x,UNK1-C6x,1.3858790397644043,1.3743340969085693,1.2780847549438477,1.465728521347046,0.0
UNK1-C6x,UNK1-C7x,1.5693871974945068,1.5246559381484985,1.4197161197662354,1.6524821519851685,0.0
UNK1-C7x,UNK1-C8x,1.6388059854507446,1.5839807987213135,1.4703720808029175,1.6998876333236694,0.0
UNK1-C7x,UNK1-C20x,1.5638083219528198,1.593726396560669,1.4864760637283325,1.7060660123825073,0.0
UNK1-C8x,UNK1-C9x,1.611881136894226,1.5742056369781494,1.4446669816970825,1.705383062362671,0.0
UNK1-C8x,UNK1-C10x,1.585716962814331,1.5662328004837036,1.4572786092758179,1.7052199840545654,0.0
UNK1-C8x,UNK1-C17x,1.5233720541000366,1.5559557676315308,1.4395637512207031,1.6752910614013672,0.0
UNK1-C10x,UNK1-C11x,1.583523154258728,1.5636495351791382,1.4320428371429443,1.6835627555847168,0.0
UNK1-C11x,UNK1-C12x,1.5249781608581543,1.5197683572769165,1.4068143367767334,1.6403944492340088,0.0
UNK1-C11x,UNK1-O4x,1.427135944366455,1.4585341215133667,1.3448785543441772,1.5736485719680786,0.0
UNK1-C12x,UNK1-C13x,1.455698013305664,1.4641903638839722,1.3539093732833862,1.5667285919189453,0.0
UNK1-C12x,UNK1-C15x,1.3765226602554321,1.3724130392074585,1.2808043956756592,1.4534320831298828,0.0
UNK1-C13x,UNK1-C14x,1.3593871593475342,1.3702616691589355,1.2845898866653442,1.4606475830078125,0.0
UNK1-C14x,UNK1-O3x,1.354234218597412,1.369617223739624,1.2718079090118408,1.4714844226837158,0.0
UNK1-O3x,UNK1-C15x,1.3255327939987183,1.3691308498382568,1.2815258502960205,1.4675939083099365,0.0
UNK1-O4x,UNK1-C16x,1.331020474433899,1.365604281425476,1.256047248840332,1.4639853239059448,0.0
UNK1-C16x,UNK1-O5x,1.200774908065796,1.2242780923843384,1.1654449701309204,1.28896164894104,0.0
UNK1-C16x,UNK1-C17x,1.524121880531311,1.5466830730438232,1.4218266010284424,1.6635286808013916,0.0
UNK1-C17x,UNK1-C18x,1.600504994392395,1.557495355606079,1.4422454833984375,1.6741881370544434,0.0
UNK1-C18x,UNK1-C19x,1.5841715335845947,1.557604193687439,1.4162147045135498,1.6825621128082275,0.0
UNK1-C19x,UNK1-C20x,1.595506191253662,1.5729533433914185,1.4462394714355469,1.6976110935211182,0.0
UNK1-C20x,UNK1-C21x,1.5791692733764648,1.5652936697006226,1.3977049589157104,1.7009191513061523,0.0
