step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
3775000,7550.000000620638,0.0,-840454.1023378056,222986.09966804477,-617468.0026697608,311.27227234219987,765.8654402859015,1.0228553750542,0
3800000,7600.000000630825,0.05000000001018634,-840983.8568901555,222491.25105188653,-618492.605838269,310.581499897432,765.7331126987536,1.0230321363585468,106
3825000,7650.000000641011,0.10000000002037268,-842493.4847381958,222721.73650436348,-619771.7482338323,310.9032407173357,765.0916570694515,1.0238898502242788,107
3850000,7700.000000651197,0.15000000003055902,-840097.2886369345,221993.19462919288,-618104.0940077417,309.88624958955506,764.274828204347,1.0249841460894398,107
3875000,7750.000000661384,0.20000000004074536,-840904.988104221,221567.1082453224,-619337.8798588986,309.2914641876,765.2753204672148,1.0236441202447562,107
3900000,7800.00000067157,0.2500000000509317,-842501.8586708545,223256.58593912743,-619245.272731727,311.6498513767793,763.242114827456,1.0263710124824286,107
3925000,7850.000000681756,0.30000000006111804,-841901.3669621814,221751.9282976345,-620149.4386645469,309.5494594516244,765.7898502674566,1.0229563396421215,107
3950000,7900.000000691943,0.3500000000713044,-839618.3135117535,221794.3813587092,-617823.9321530443,309.6087208172802,767.5560156464878,1.0206024917997405,107
3975000,7950.000000702129,0.4000000000814907,-840652.2134130849,222866.92836886924,-617785.2850442156,311.10591793200325,764.6843289197088,1.0244352506496035,107
4000000,8000.000000712315,0.45000000009167707,-842311.9962345972,222747.3622617313,-619564.6339728659,310.9390123987913,762.3868638295297,1.027522402772994,107
4025000,8050.000000722502,0.5000000001018634,-840547.0949837919,223669.9327879212,-616877.1621958707,312.2268533203133,765.8691160995127,1.0228504658267217,107
4050000,8100.000000732688,0.5500000001120497,-841109.3732428476,222027.8927780561,-619081.4804647915,309.9346856654306,765.9232385458104,1.022778188127572,107
4075000,8150.000000742874,0.6000000001222361,-840201.9115919177,222446.00493265124,-617755.9066592664,310.5183396270385,765.6416762194009,1.0231543116002022,107
4100000,8200.00000075306,0.6500000001324215,-842437.7418043572,222684.3441229519,-619753.3976814053,310.85104369004296,764.6734928221526,1.0244497678002835,107
4125000,8250.000000763246,0.7000000001426079,-842173.5059606778,222885.4949503676,-619288.0110103101,311.1318355206835,761.7147418032299,1.0284290682233508,107
4150000,8300.000000773432,0.7500000001527942,-842198.4397839559,221613.20003789975,-620585.2397460561,309.3558049560751,768.6315391909184,1.0191743926996295,107
4175000,8350.000000783619,0.8000000001629806,-839857.9019959634,221283.1801380712,-618574.7218578922,308.8951213336847,767.3069920636367,1.0209337204889135,107
4200000,8400.000000793805,0.8500000001731669,-841286.4090790404,222718.55042857063,-618567.8586504697,310.8987931887526,763.9916581601102,1.0253640518160143,107
4225000,8450.000000803991,0.9000000001833532,-840222.8804542185,221941.76072846304,-618281.1197257554,309.8144516291467,762.7370473837143,1.0270506524519083,107
4250000,8500.000000814178,0.9500000001935396,-840206.6025803937,222873.8956619241,-617332.7069184695,311.1156437630954,764.7438816003285,1.0243554750975985,107
4275000,8550.000000824364,1.000000000203726,-840128.9220846109,222476.18589623529,-617652.7361883756,310.5604700429265,765.3910305548469,1.023489368038199,107
4300000,8600.00000083455,1.0500000002139123,-841177.6097075148,222409.6757049226,-618767.9340025921,310.46762668446326,766.4187350276259,1.0221169529949563,107
4325000,8650.000000844737,1.1000000002240986,-842767.9107732498,221851.36772270847,-620916.5430505413,309.6882696099672,764.8672619522512,1.024190236833002,107
4350000,8700.000000854923,1.150000000234285,-842050.7142593628,221392.57800063983,-620658.136258723,309.0478327418029,764.4175577185418,1.024792764445008,107
4375000,8750.00000086511,1.2000000002444713,-840525.0856299605,223297.78146059427,-617227.3041693663,311.70735730919563,766.1868373733708,1.022426311642498,107
4400000,8800.000000875296,1.2500000002546576,-840704.4981978475,222320.03471248283,-618384.4634853647,310.3424944208232,766.0352066175435,1.0226286930383828,107
4425000,8850.000000885482,1.300000000264844,-840214.6183702531,221083.0698685603,-619131.5485016928,308.6157820457093,765.3824423959106,1.0235008523483624,107
4450000,8900.000000895669,1.3500000002750303,-841535.2597237155,223229.03970022927,-618306.2200234862,311.61139884368833,766.5155074307806,1.021987910969208,107
4475000,8950.000000905855,1.4000000002852167,-841306.6213319851,223064.83641102808,-618241.784920957,311.3821830718003,763.7372603122902,1.0257055965088937,107
4500000,9000.000000916041,1.450000000295403,-842153.3231529612,223426.69558921197,-618726.6275637492,311.8873119961092,764.9173703425108,1.0241231439337202,107
4525000,9050.000000926228,1.5000000003055893,-840523.6189748757,221502.5973955829,-619021.0215792927,309.2014117636193,762.6211526167987,1.027206732303048,107
4550000,9100.000000936414,1.5500000003157757,-841845.4202397391,222235.26200043908,-619610.1582393,310.2241579202532,765.2093369050589,1.0237323884900271,107
4575000,9150.0000009466,1.600000000325962,-841498.5985079468,222016.47450526647,-619482.1240026804,309.91874659244473,763.707346350535,1.0257457727860144,107
4600000,9200.000000956788,1.6500000003361501,-841110.1470312914,222045.69513634787,-619064.4518949435,309.95953645445644,764.5456982531589,1.0246210055913414,107
4625000,9250.000000966971,1.700000000346333,-841145.5402072533,222068.172902182,-619077.3673050713,309.990913770167,764.1571321820937,1.025142014872949,107
4650000,9300.00000097716,1.750000000356521,-841672.881338458,223269.4624343724,-618403.4189040856,311.6678260215695,764.5314432366174,1.024640110089283,107
4675000,9350.000000987346,1.8000000003667074,-842070.3538929014,223466.7774751192,-618603.5764177822,311.9432633748036,763.8942417648992,1.0254948124164296,107
4700000,9400.000000997532,1.8500000003768937,-841273.0789840082,221996.6272669591,-619276.4517170491,309.8910413006044,765.8526349861679,1.02287247752152,107
4725000,9450.000001007718,1.90000000038708,-842253.50294575,221665.6894253191,-620587.8135204309,309.4290762986394,765.6026132641945,1.023206515485548,107
4750000,9500.000001017905,1.9500000003972664,-842195.4967734306,223047.64687441537,-619147.8498990153,311.35818773697935,763.5031493520057,1.0260201059151373,107
4775000,9550.000001028093,2.0000000004074545,-840786.1066217879,221663.77962033232,-619122.3270014556,309.42641035067743,765.472111472423,1.0233809572210752,107
4800000,9600.000001038276,2.0500000004176373,-842983.7105259239,222876.62584558476,-620107.0846803391,311.1194548996335,766.460663991206,1.02206103844316,107
4825000,9650.000001048464,2.1000000004278254,-841390.7940756357,221445.41793424444,-619945.3761413912,309.1215934211817,765.8238695760574,1.022910898035003,107
4850000,9700.00000105865,2.1500000004380118,-843092.2308014785,220996.72103271185,-622095.5097687666,308.4952453916817,766.3677126192582,1.0221850024022014,107
4875000,9750.000001068836,2.200000000448198,-843601.804238894,222003.57280254803,-621598.231436346,309.9007367598668,765.8578503878227,1.0228655118805603,107
4900000,9800.000001079025,2.250000000458386,-841400.4315733742,222036.2129542359,-619364.2186191382,309.9463000223329,766.8712361765187,1.021513841189852,107
4925000,9850.000001089207,2.300000000468569,-842541.6441029492,221700.0643495604,-620841.5797533888,309.4770611766032,764.7536031951679,1.0243424534277965,107
4950000,9900.000001099395,2.350000000478757,-842278.5078563956,222180.03485019263,-620098.4730062028,310.14706486118905,766.815607174006,1.0215879473967509,107
4975000,9950.000001109582,2.4000000004889435,-840346.0626455038,223601.81387084135,-616744.2487746624,312.13176429843924,764.7311590614919,1.0243725169065527,107
