atom1,atom2,frame0_distance_A,mean_distance_A,minimum_distance_A,maximum_distance_A,implausible_frame_fraction
UNK1-O1x,UNK1-C1x,1.2601017951965332,1.2239322662353516,1.1585264205932617,1.2894434928894043,0.0
UNK1-C1x,UNK1-O2x,1.3736308813095093,1.3694350719451904,1.2661762237548828,1.4780592918395996,0.0
UNK1-C1x,UNK1-C12x,1.5206518173217773,1.4900861978530884,1.3659586906433105,1.6138780117034912,0.0
UNK1-O2x,UNK1-C2x,1.4623119831085205,1.4367517232894897,1.3258863687515259,1.5512210130691528,0.0
UNK1-C2x,UNK1-C3x,1.542375087738037,1.525921106338501,1.4191977977752686,1.6570956707000732,0.0
UNK1-C3x,UNK1-C4x,1.536385416984558,1.5598127841949463,1.4344604015350342,1.6827123165130615,0.0
UNK1-C3x,UNK1-C12x,1.4921722412109375,1.5100945234298706,1.3868486881256104,1.6311055421829224,0.0
UNK1-C4x,UNK1-C5x,1.4871735572814941,1.5275617837905884,1.4056003093719482,1.6636483669281006,0.0
UNK1-C5x,UNK1-C6x,1.4195070266723633,1.4168198108673096,1.3318865299224854,1.5126930475234985,0.0
UNK1-C5x,UNK1-C10x,1.4255127906799316,1.4162646532058716,1.3197197914123535,1.5032492876052856,0.0
UNK1-C6x,UNK1-C7x,1.37528395652771,1.41324782371521,1.3148412704467773,1.4975262880325317,0.0
UNK1-C7x,UNK1-C8x,1.4717496633529663,1.4048748016357422,1.319979190826416,1.4933106899261475,0.0
UNK1-C8x,UNK1-C9x,1.397579312324524,1.4094347953796387,1.3219473361968994,1.4904773235321045,0.0
UNK1-C8x,UNK1-O4x,1.3993126153945923,1.3720353841781616,1.276262879371643,1.4624102115631104,0.0
UNK1-C9x,UNK1-C10x,1.4351673126220703,1.407669186592102,1.3117256164550781,1.4913146495819092,0.0
UNK1-C9x,UNK1-O3x,1.403336763381958,1.371724009513855,1.2721214294433594,1.467838168144226,0.0
UNK1-O3x,UNK1-C11x,1.4859898090362549,1.4334311485290527,1.3151681423187256,1.566575050354004,0.0
UNK1-C11x,UNK1-O4x,1.4038575887680054,1.434537410736084,1.3064467906951904,1.539501428604126,0.0
UNK1-C12x,UNK1-C13x,1.3831878900527954,1.389176607131958,1.3027410507202148,1.4786601066589355,0.0
UNK1-C13x,UNK1-C14x,1.4500703811645508,1.4870891571044922,1.3776991367340088,1.6029393672943115,0.0
UNK1-C14x,UNK1-C15x,1.4459360837936401,1.4188040494918823,1.3172249794006348,1.505000352859497,0.0
UNK1-C14x,UNK1-C19x,1.4196598529815674,1.424028754234314,1.3262110948562622,1.5087251663208008,0.0
UNK1-C15x,UNK1-C16x,1.4023573398590088,1.407049536705017,1.3040075302124023,1.4936962127685547,0.0
UNK1-C16x,UNK1-C17x,1.389174222946167,1.407995581626892,1.3235753774642944,1.4910160303115845,0.0
UNK1-C16x,UNK1-O12x,1.359682559967041,1.3716486692428589,1.2626750469207764,1.4811475276947021,0.0
UNK1-C17x,UNK1-C18x,1.425025224685669,1.4061903953552246,1.3060095310211182,1.4841554164886475,0.0
UNK1-C17x,UNK1-O11x,1.435357928276062,1.374053716659546,1.2827942371368408,1.4781510829925537,0.0
UNK1-C18x,UNK1-C19x,1.388722538948059,1.4106703996658325,1.307525396347046,1.5011488199234009,0.0
UNK1-C19x,UNK1-O5x,1.416597843170166,1.3825626373291016,1.2497068643569946,1.5000100135803223,0.0
UNK1-O5x,UNK1-C20x,1.5117032527923584,1.456312894821167,1.3368440866470337,1.588325023651123,0.0
UNK1-C20x,UNK1-O6x,1.340915560722351,1.4526584148406982,1.3237069845199585,1.5619919300079346,0.0
UNK1-C20x,UNK1-C25x,1.6004575490951538,1.5714470148086548,1.4236866235733032,1.6797577142715454,0.0
UNK1-O6x,UNK1-C21x,1.4914205074310303,1.4610339403152466,1.3449475765228271,1.5805187225341797,0.0
UNK1-C21x,UNK1-C22x,1.5952318906784058,1.5558115243911743,1.4470218420028687,1.6724112033843994,0.0
UNK1-C21x,UNK1-C23x,1.525204062461853,1.5684453248977661,1.455379843711853,1.7023155689239502,0.0
UNK1-C22x,UNK1-O7x,1.4305229187011719,1.433663249015808,1.3033969402313232,1.5402733087539673,0.0
UNK1-C23x,UNK1-O8x,1.4198042154312134,1.4376378059387207,1.3179759979248047,1.5412235260009766,0.0
UNK1-C23x,UNK1-C24x,1.531626582145691,1.558620810508728,1.4338712692260742,1.7000439167022705,0.0
UNK1-C24x,UNK1-O9x,1.433580994606018,1.439700722694397,1.3322561979293823,1.560367226600647,0.0
UNK1-C24x,UNK1-C25x,1.613708734512329,1.5600025653839111,1.4356958866119385,1.6895346641540527,0.0
UNK1-C25x,UNK1-O10x,1.469594120979309,1.4462270736694336,1.3227654695510864,1.5822772979736328,0.0
UNK1-O11x,UNK1-C26x,1.4226324558258057,1.439886450767517,1.3186746835708618,1.5576738119125366,0.0
UNK1-C26x,UNK1-O12x,1.4260989427566528,1.436110019683838,1.3082538843154907,1.567471981048584,0.0
