step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
3775000,7550.000000620638,0.0,-1803488.9623320848,473174.8668358204,-1330314.0954962643,310.17940188458533,1639.2147554848702,1.019656069887258,0.0
3800000,7600.000000630825,0.05000000001018634,-1807999.1050418569,474375.3795309112,-1333623.7255109458,310.9663716410481,1629.842809444919,1.025519311183237,53.8
3825000,7650.000000641011,0.10000000002037268,-1807372.1817329377,472745.1939974951,-1334626.9877354426,309.897739283,1634.6221070753468,1.0225209043999928,53.9
3850000,7700.000000651197,0.15000000003055902,-1805401.7461300695,475891.6542254738,-1329510.091904596,311.9603322480374,1635.6341678637662,1.0218882119966337,53.9
3875000,7750.000000661384,0.20000000004074536,-1805858.1821910967,474918.12395088014,-1330940.0582402172,311.32215583704306,1634.8354823766078,1.0223874471143062,53.9
3900000,7800.00000067157,0.2500000000509317,-1805498.709379024,473853.0370553375,-1331645.6723236863,310.62396149205654,1636.655082189822,1.0212507775569597,53.9
3925000,7850.000000681756,0.30000000006111804,-1805217.3167327477,471442.6398493426,-1333774.6768834048,309.0438784909042,1636.0383875593827,1.0216357317705282,53.9
3950000,7900.000000691943,0.3500000000713044,-1805910.468117915,474643.71846769226,-1331266.7496502227,311.14227534335106,1634.5083957013671,1.0225920403190667,53.9
3975000,7950.000000702129,0.4000000000814907,-1806969.653345733,470669.81630501454,-1336299.8370407184,308.5372709731698,1635.6585108165425,1.021873003579765,53.8
4000000,8000.000000712315,0.45000000009167707,-1805284.467423916,473697.8255048942,-1331586.6419190215,310.52221596570587,1636.2583484438003,1.021498394106628,53.8
4025000,8050.000000722502,0.5000000001018634,-1810084.9459084664,472269.0372577929,-1337815.9086506737,309.58560517978395,1630.8488926251086,1.0248866604609006,53.8
4050000,8100.000000732688,0.5500000001120497,-1803762.9028475648,472643.20581048366,-1331119.6970370812,309.83088316475755,1635.760229760447,1.0218094589105415,53.8
4075000,8150.000000742874,0.6000000001222361,-1806330.214141543,473779.8042422313,-1332550.4098993116,310.5759553282475,1635.549088898333,1.0219413691855284,53.8
4100000,8200.00000075306,0.6500000001324215,-1805780.8062212616,473155.0842122764,-1332625.7220089852,310.1664338197774,1635.3778919300946,1.022048349514041,53.8
4125000,8250.000000763246,0.7000000001426079,-1806781.0884975768,473693.20067370887,-1333087.8878238683,310.5191842590972,1636.4639951886654,1.0213700272007562,53.8
4150000,8300.000000773432,0.7500000001527942,-1805267.4047224356,472188.5140679609,-1333078.8906544745,309.5328199694727,1637.6272245752605,1.0206445338696746,53.8
4175000,8350.000000783619,0.8000000001629806,-1805480.9114811309,472661.7091403626,-1332819.2023407682,309.8430126166727,1636.7019100471828,1.0212215584392648,53.8
4200000,8400.000000793805,0.8500000001731669,-1804071.590469816,473723.02077642817,-1330348.5696933875,310.5387321731431,1635.0613785663586,1.0222461964971858,53.8
4225000,8450.000000803991,0.9000000001833532,-1806130.0079681731,472342.4013386288,-1333787.6066295444,309.63369739327294,1637.8642451581145,1.020496833128896,53.8
4250000,8500.000000814178,0.9500000001935396,-1807839.5755309109,474803.3380820295,-1333036.2374488814,311.24691047926865,1638.5692701654236,1.0200577453220294,53.8
4275000,8550.000000824364,1.000000000203726,-1806198.0396408308,472725.22109486425,-1333472.8185459666,309.8846464849116,1634.3872639728809,1.0226678291753009,53.8
4300000,8600.00000083455,1.0500000002139123,-1806706.52591204,472597.47720398585,-1334109.048708054,309.8009067801128,1638.2291647204502,1.0202695149577083,53.8
4325000,8650.000000844737,1.1000000002240986,-1810496.6428378504,472721.30886367854,-1337775.333974172,309.8820819075973,1635.1391104495556,1.0221976005572826,53.8
4350000,8700.000000854923,1.150000000234285,-1807326.266677562,473653.89906414587,-1333672.3676134162,310.49342095127633,1633.983106077735,1.0229207811646666,53.8
4375000,8750.00000086511,1.2000000002444713,-1805476.615768984,474197.6286028555,-1331278.9871661286,310.8498509202469,1632.2731997818653,1.0239923534260529,53.8
4400000,8800.000000875296,1.2500000002546576,-1807186.0658312216,472610.50601469626,-1334575.559816525,309.80944753110504,1638.0498087811432,1.020381227920416,53.8
4425000,8850.000000885482,1.300000000264844,-1808757.927624449,474007.7998230148,-1334750.1278014344,310.7254128287117,1632.9371853672033,1.0235759772370208,53.8
4450000,8900.000000895669,1.3500000002750303,-1809214.6217432504,472447.5381033893,-1336767.083639861,309.70261749257486,1633.6528544689038,1.023127570038302,53.8
4475000,8950.000000905855,1.4000000002852167,-1806076.2501148896,475945.4469890872,-1330130.803125803,311.9955949139412,1635.3877720020007,1.0220421748860065,53.8
4500000,9000.000000916041,1.450000000295403,-1807846.892469905,474030.4639279274,-1333816.428541978,310.7402697854073,1636.0027574549888,1.0216579817255544,53.8
4525000,9050.000000926228,1.5000000003055893,-1802470.6364533613,473407.9778810373,-1329062.658572324,310.3322127155189,1639.1225235233114,1.0197134450243155,53.8
4550000,9100.000000936414,1.5500000003157757,-1805287.8616369125,473930.56772488,-1331357.2939120326,310.6747850213517,1636.6282293256977,1.0212675336582386,53.8
4575000,9150.0000009466,1.600000000325962,-1805281.2473660605,471672.26852372073,-1333608.9788423397,309.19440653004216,1635.478474122244,1.0219854933743224,53.8
4600000,9200.000000956788,1.6500000003361501,-1806869.2636692396,473040.3379530386,-1333828.9257162008,310.09121442721573,1635.214553385763,1.0221504400252222,53.8
4625000,9250.000000966971,1.700000000346333,-1807020.878707668,472996.120303331,-1334024.7584043369,310.06222851714244,1632.985846801858,1.0235454756404343,53.8
4650000,9300.00000097716,1.750000000356521,-1807238.8928257676,474038.98146391177,-1333199.9113618557,310.7458532692361,1633.4142955436248,1.0232769970478472,53.8
4675000,9350.000000987346,1.8000000003667074,-1806892.144734295,471671.16190781776,-1335220.9828264774,309.1936811122676,1633.0867004577913,1.0234822650936806,53.8
4700000,9400.000000997532,1.8500000003768937,-1805018.841506576,474783.2869045682,-1330235.5546020078,311.2337663698327,1635.472851520438,1.021989006864305,53.8
4725000,9450.000001007718,1.90000000038708,-1807308.920731268,472927.282635319,-1334381.6380959488,310.01710349426475,1635.0830472257005,1.0222326493537346,53.8
4750000,9500.000001017905,1.9500000003972664,-1807845.4897793464,474109.6736687864,-1333735.8161105602,310.7921939930631,1634.2271593123653,1.0227680195831503,53.8
4775000,9550.000001028093,2.0000000004074545,-1805364.043601879,471458.7648014919,-1333905.278800387,309.0544488494833,1632.8925999113662,1.0236039255549514,53.8
4800000,9600.000001038276,2.0500000004176373,-1807526.7114861675,472911.7067267054,-1334615.004759462,310.00689304912873,1634.0637050294204,1.022870326373727,53.8
4825000,9650.000001048464,2.1000000004278254,-1806016.020506952,471684.1371180955,-1334331.8833888564,309.2021867266722,1634.907081129819,1.022342672908263,53.8
4850000,9700.00000105865,2.1500000004380118,-1807542.9111577652,472521.9444387463,-1335020.9667190192,309.75139293314675,1634.241374349422,1.0227591232930875,53.8
4875000,9750.000001068836,2.200000000448198,-1804558.4479472896,473727.5555578476,-1330830.8923894423,310.5417048496036,1635.7839576298156,1.021794637050205,53.8
4900000,9800.000001079025,2.250000000458386,-1805980.640076872,472591.3183586738,-1333389.3217181982,309.79686948420147,1636.9670063118024,1.0210561781845329,53.8
4925000,9850.000001089207,2.300000000468569,-1806596.4016863257,471620.1896633178,-1334976.2120230077,309.1602673757827,1637.760921927347,1.0205612143388607,53.8
